Id,to_n,program_n,electron_n,the_n,be_n,or_n,can_n,process_n,accept_n,data_n,a_n,inform_n,oper_n,instruct_n,system_n,store_n,that_n,and_n,comput_n,which_n,set_n,result_n,c_n,devic_n,calcul_n,is_n,it_n,in_n,perform_n,i_n,for_n,machin_n,by_n,on_n,of_n,with_n,us_n,an_n,as_n,other_n
77,0.0661747001956,0.0,0.0,0.0740744595311,0.0,0.0,0.0,0.0,0.0,0.0873493693427,0.00673210148757,0.0,0.0,0.0,0.0,0.10864609919,0.0,0.0363408261144,0.00977388607554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118088084666,0.0,0.0,0.0,0.189263367045,0.0740744595311,0.175988457233,0.237293115085,0.0,0.0,0.0
78,0.0580855439581,0.0,0.0,0.084592503745,0.0,0.0,0.0,0.0,0.0,0.0,0.0100395083246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111617080932,0.0,0.0,0.0,0.0,0.0,0.0,0.0326094637346,0.116205008534,0.0,0.0,0.0,0.0,0.0,0.0,0.216137413447,0.0960418942593,0.0,0.160093576359,0.0,0.0,0.172645517897
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218195647698,0.286071155957,0.0,0.0,0.0,0.0,0.0,0.0,0.0243486783294,0.0,0.0,0.0,0.454366127579,0.217604510628,0.0,0.0925498455122,0.0,0.0,0.0,0.0,0.42350719617,0.0,0.0,0.0,0.0,0.438421964584,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.237321095149,0.146553676988,0.142483046618,0.108301678938,0.0,0.105394242775,0.00812283756488,0.180264569135,0.0,0.0,0.0,0.0,0.0798452521232,0.0,0.0153430498554,0.0,0.0,0.0,0.0,0.0,0.0,0.044825453565,0.0,0.0,0.0,0.142483046618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.125960425574,0.106817605175,0.0,0.0,0.170286580335,0.129435206423,0.0,0.125960425574,0.0143397357177,0.0,0.0,0.185446733229,0.0,0.156670952451,0.0954259139088,0.0524045675147,0.0140942385601,0.34218383014,0.26300994695,0.0,0.0,0.0,0.0,0.0696994311283,0.0,0.0,0.0,0.170286580335,0.0,0.192952516414,0.0,0.0,0.106817605175,0.0,0.0,0.161057297585,0.0,0.0
82,0.0746143996007,0.1683426963,0.0,0.0,0.0,0.0,0.133148643081,0.0,0.0,0.0,0.0128963565611,0.0,0.0,0.188652609803,0.0,0.0,0.0,0.0314947490658,0.0110204147376,0.0,0.205649896101,0.0,0.0,0.0,0.0,0.0,0.14927237229,0.173707831179,0.0,0.0,0.0,0.0,0.0,0.0,0.10866419504,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.162745947039,0.0,0.0,0.0,0.0,0.167235503957,0.0,0.0,0.0163188057186,0.278357975245,0.0,0.0,0.0,0.0,0.123294127186,0.0,0.0182103243284,0.0,0.0,0.0,0.0,0.0,0.0,0.0692178310674,0.0,0.287037831105,0.0,0.0,0.0,0.191619278221,0.0,0.0,0.0,0.0,0.0,0.270734610858,0.0,0.366462582447
84,0.0435222925037,0.0,0.0,0.0633834073116,0.0,0.0798839233111,0.0,0.0590334080492,0.0,0.057448613916,0.0057604676882,0.0755241301924,0.0,0.0,0.0,0.0714552131606,0.0,0.0183707660788,0.00642816555905,0.0,0.0,0.119954793972,0.0,0.0,0.0,0.0,0.128612949159,0.101323110274,0.0,0.101044613979,0.111807890991,0.0,0.0,0.161947277894,0.0,0.0,0.0,0.0,0.0,0.129359703248
85,0.0661866669945,0.0,0.0,0.0740878548945,0.0,0.0,0.0,0.0,0.0,0.0,0.0107871808137,0.0,0.0,0.0,0.19672418682,0.0,0.0,0.0363473978609,0.0127184184965,0.0,0.0,0.0,0.0,0.0,0.0,0.03715746759,0.132411985476,0.0,0.0,0.0,0.170032211601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.111614516323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147329078658,0.0113547964577,0.0,0.0,0.0,0.331747706268,0.18324951644,0.0,0.047112503786,0.0164852664793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199174977968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
